,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,Attendance,Time
318,1994-02-26,Norwich,Sheffield Weds,1.0,1.0,D,,,,,,,
319,1994-02-26,West Ham,Man United,2.0,2.0,D,,,,,,,
320,1994-02-27,Chelsea,Tottenham,4.0,3.0,H,,,,,,,
321,1994-02-28,Oldham,Leeds,1.0,1.0,D,,,,,,,
322,1994-03-02,Tottenham,Aston Villa,1.0,1.0,D,,,,,,,
323,1994-03-05,Wimbledon,Norwich,3.0,1.0,H,,,,,,,
324,1994-03-05,Tottenham,Sheffield United,2.0,2.0,D,,,,,,,
325,1994-03-05,Swindon,West Ham,1.0,1.0,D,,,,,,,
326,1994-03-05,QPR,Man City,1.0,1.0,D,,,,,,,
327,1994-03-05,Sheffield Weds,Newcastle,0.0,1.0,A,,,,,,,
328,1994-03-05,Leeds,Southampton,0.0,0.0,D,,,,,,,
329,1994-03-05,Ipswich,Arsenal,1.0,5.0,A,,,,,,,
330,1994-03-05,Everton,Oldham,2.0,1.0,H,,,,,,,
331,1994-03-05,Blackburn,Liverpool,2.0,0.0,H,,,,,,,
332,1994-03-05,Man United,Chelsea,0.0,1.0,A,,,,,,,
333,1994-03-06,Coventry,Aston Villa,0.0,1.0,A,,,,,,,
334,1994-03-12,Norwich,QPR,3.0,4.0,A,,,,,,,
335,1994-03-12,Aston Villa,Ipswich,0.0,1.0,A,,,,,,,
336,1994-03-12,Man City,Wimbledon,0.0,1.0,A,,,,,,,
337,1994-03-12,Newcastle,Swindon,7.0,1.0,H,,,,,,,
338,1994-03-12,Southampton,Sheffield Weds,1.0,1.0,D,,,,,,,
339,1994-03-13,Sheffield United,Leeds,2.0,2.0,D,,,,,,,
340,1994-03-13,Liverpool,Everton,2.0,1.0,H,,,,,,,
341,1994-03-16,Chelsea,Wimbledon,2.0,0.0,H,,,,,,,
342,1994-03-16,Leeds,Aston Villa,2.0,0.0,H,,,,,,,
343,1994-03-16,Man United,Sheffield Weds,5.0,0.0,H,,,,,,,
344,1994-03-16,Sheffield United,QPR,1.0,1.0,D,,,,,,,
345,1994-03-19,Southampton,Arsenal,0.0,4.0,A,,,,,,,
346,1994-03-19,West Ham,Newcastle,2.0,4.0,A,,,,,,,
347,1994-03-19,Tottenham,Ipswich,1.0,1.0,D,,,,,,,
348,1994-03-19,Swindon,Man United,2.0,2.0,D,,,,,,,
349,1994-03-19,Man City,Sheffield United,0.0,0.0,D,,,,,,,
350,1994-03-19,Liverpool,Chelsea,2.0,1.0,H,,,,,,,
351,1994-03-19,Leeds,Coventry,1.0,0.0,H,,,,,,,
352,1994-03-19,Aston Villa,Oldham,1.0,2.0,A,,,,,,,
353,1994-03-19,QPR,Wimbledon,1.0,0.0,H,,,,,,,
354,1994-03-20,Sheffield Weds,Blackburn,1.0,2.0,A,,,,,,,
355,1994-03-21,Norwich,Everton,3.0,0.0,H,,,,,,,
356,1994-03-22,Arsenal,Man United,2.0,2.0,D,,,,,,,
357,1994-03-22,Newcastle,Ipswich,2.0,0.0,H,,,,,,,
358,1994-03-26,Ipswich,QPR,1.0,3.0,A,,,,,,,
359,1994-03-26,Sheffield United,Southampton,0.0,0.0,D,,,,,,,
360,1994-03-26,Everton,Tottenham,0.0,1.0,A,,,,,,,
361,1994-03-26,Oldham,Man City,0.0,0.0,D,,,,,,,
362,1994-03-26,Chelsea,West Ham,2.0,0.0,H,,,,,,,
363,1994-03-26,Arsenal,Liverpool,1.0,0.0,H,,,,,,,
364,1994-03-26,Coventry,Norwich,2.0,1.0,H,,,,,,,
365,1994-03-26,Blackburn,Swindon,3.0,1.0,H,,,,,,,
366,1994-03-27,Wimbledon,Leeds,1.0,0.0,H,,,,,,,
367,1994-03-28,Sheffield United,West Ham,3.0,2.0,H,,,,,,,
